!Sample_title	!Sample_geo_accession	!Sample_characteristics_ch1
T107	GSM1523727	patient: 107
T443	GSM1523838	patient: 443
T444	GSM1523839	patient: 444
T445	GSM1523840	patient: 445
T446	GSM1523841	patient: 446
T447	GSM1523842	patient: 447
T448	GSM1523843	patient: 448
T450	GSM1523844	patient: 450
T451	GSM1523845	patient: 451
T455	GSM1523846	patient: 455
T456	GSM1523847	patient: 456
T457	GSM1523848	patient: 457
T459	GSM1523849	patient: 459
T460	GSM1523850	patient: 460
T465	GSM1523851	patient: 465
T469	GSM1523852	patient: 469
T470	GSM1523853	patient: 470
T471	GSM1523854	patient: 471
T476	GSM1523855	patient: 476
T477	GSM1523856	patient: 477
T480	GSM1523857	patient: 480
T482	GSM1523858	patient: 482
T483	GSM1523859	patient: 483
T485	GSM1523860	patient: 485
T488	GSM1523861	patient: 488
T489	GSM1523862	patient: 489
T493	GSM1523863	patient: 493
T501	GSM1523864	patient: 501
T502	GSM1523865	patient: 502
T503	GSM1523866	patient: 503
T505	GSM1523867	patient: 505
T510	GSM1523868	patient: 510
T514	GSM1523869	patient: 514
T516	GSM1523870	patient: 516
T517	GSM1523871	patient: 517
T518	GSM1523872	patient: 518
T519	GSM1523873	patient: 519
T520	GSM1523874	patient: 520
T522	GSM1523875	patient: 522
T523	GSM1523876	patient: 523
T524	GSM1523877	patient: 524
T525	GSM1523878	patient: 525
T528	GSM1523879	patient: 528
T529	GSM1523880	patient: 529
T532	GSM1523881	patient: 532
T533	GSM1523882	patient: 533
T534	GSM1523883	patient: 534
T538	GSM1523884	patient: 538
T540	GSM1523885	patient: 540
T541	GSM1523886	patient: 541
T542	GSM1523887	patient: 542
T544	GSM1523888	patient: 544
T547	GSM1523889	patient: 547
T550	GSM1523890	patient: 550
T551	GSM1523891	patient: 551
T553	GSM1523892	patient: 553
T554	GSM1523893	patient: 554
T556	GSM1523894	patient: 556
T557	GSM1523895	patient: 557
T559	GSM1523896	patient: 559
T560	GSM1523897	patient: 560
T561	GSM1523898	patient: 561
T566	GSM1523899	patient: 566
N56	GSM1523900	patient: 56
T571	GSM1523901	patient: 571
N57	GSM1523902	patient: 57
T584	GSM1523903	patient: 584
T586	GSM1523904	patient: 586
T588	GSM1523905	patient: 588
T589	GSM1523906	patient: 589
N58	GSM1523907	patient: 58
T592	GSM1523908	patient: 592
T595	GSM1523909	patient: 595
T596	GSM1523910	patient: 596
T603	GSM1523911	patient: 603
N60	GSM1523912	patient: 60
N61	GSM1523913	patient: 61
N68	GSM1523914	patient: 68
N75	GSM1523915	patient: 75
N78	GSM1523916	patient: 78
N79	GSM1523917	patient: 79
T207	GSM1523918	patient: 207
T101	GSM1523919	patient: 101
T105	GSM1523920	patient: 105
T106	GSM1523921	patient: 106
T112	GSM1523922	patient: 112
T113	GSM1523923	patient: 113
T114	GSM1523924	patient: 114
T115	GSM1523925	patient: 115
T116	GSM1523926	patient: 116
T117	GSM1523927	patient: 117
T118	GSM1523928	patient: 118
T11	GSM1523929	patient: 11
T121	GSM1523930	patient: 121
T124	GSM1523931	patient: 124
T128	GSM1523932	patient: 128
T129	GSM1523933	patient: 129
T12	GSM1523934	patient: 12
T132	GSM1523935	patient: 132
T133	GSM1523936	patient: 133
T134	GSM1523937	patient: 134
T135	GSM1523938	patient: 135
T136	GSM1523939	patient: 136
T137	GSM1523940	patient: 137
T138	GSM1523941	patient: 138
T139	GSM1523942	patient: 139
T140	GSM1523943	patient: 140
T141	GSM1523944	patient: 141
T142	GSM1523945	patient: 142
T143	GSM1523946	patient: 143
T144	GSM1523947	patient: 144
T145	GSM1523948	patient: 145
T146	GSM1523949	patient: 146
T148	GSM1523950	patient: 148
T14	GSM1523951	patient: 14
T150	GSM1523952	patient: 150
T151	GSM1523953	patient: 151
T152	GSM1523954	patient: 152
T154	GSM1523955	patient: 154
T155	GSM1523956	patient: 155
T156	GSM1523957	patient: 156
T157	GSM1523958	patient: 157
T16	GSM1523959	patient: 16
T171	GSM1523960	patient: 171
T172	GSM1523961	patient: 172
T173	GSM1523962	patient: 173
T175	GSM1523963	patient: 175
T177	GSM1523964	patient: 177
T17	GSM1523965	patient: 17
T180	GSM1523966	patient: 180
T182	GSM1523967	patient: 182
T185	GSM1523968	patient: 185
T186	GSM1523969	patient: 186
T187	GSM1523970	patient: 187
T188	GSM1523971	patient: 188
T189	GSM1523972	patient: 189
T18	GSM1523973	patient: 18
T190	GSM1523974	patient: 190
T192	GSM1523975	patient: 192
T193	GSM1523976	patient: 193
T197	GSM1523977	patient: 197
T19	GSM1523978	patient: 19
T1	GSM1523979	patient: 1
T201	GSM1523980	patient: 201
T202	GSM1523981	patient: 202
T204	GSM1523982	patient: 204
T205	GSM1523983	patient: 205
T206	GSM1523984	patient: 206
T209	GSM1523985	patient: 209
T20	GSM1523986	patient: 20
T212	GSM1523987	patient: 212
T213	GSM1523988	patient: 213
T21	GSM1523989	patient: 21
T225	GSM1523990	patient: 225
T226	GSM1523991	patient: 226
T227	GSM1523992	patient: 227
T228	GSM1523993	patient: 228
T22	GSM1523994	patient: 22
T236	GSM1523995	patient: 236
T237	GSM1523996	patient: 237
T238	GSM1523997	patient: 238
T23	GSM1523998	patient: 23
T240	GSM1523999	patient: 240
T241	GSM1524000	patient: 241
T246	GSM1524001	patient: 246
T24	GSM1524002	patient: 24
T25	GSM1524003	patient: 25
T26	GSM1524004	patient: 26
T282	GSM1524005	patient: 282
T287	GSM1524006	patient: 287
T288	GSM1524007	patient: 288
T28	GSM1524008	patient: 28
T299	GSM1524009	patient: 299
T29	GSM1524010	patient: 29
T301	GSM1524011	patient: 301
T30	GSM1524012	patient: 30
T311	GSM1524013	patient: 311
T318	GSM1524014	patient: 318
T319	GSM1524015	patient: 319
T31	GSM1524016	patient: 31
T32	GSM1524017	patient: 32
T33	GSM1524018	patient: 33
T34	GSM1524019	patient: 34
T35	GSM1524020	patient: 35
T36	GSM1524021	patient: 36
T38	GSM1524022	patient: 38
T39	GSM1524023	patient: 39
T3	GSM1524024	patient: 3
T41	GSM1524025	patient: 41
T42	GSM1524026	patient: 42
T45	GSM1524027	patient: 45
T47	GSM1524028	patient: 47
T49	GSM1524029	patient: 49
T4	GSM1524030	patient: 4
T50	GSM1524031	patient: 50
T51	GSM1524032	patient: 51
T52	GSM1524033	patient: 52
T53	GSM1524034	patient: 53
T54	GSM1524035	patient: 54
T55	GSM1524036	patient: 55
T56	GSM1524037	patient: 56
T57	GSM1524038	patient: 57
T58	GSM1524039	patient: 58
T60	GSM1524040	patient: 60
T61	GSM1524041	patient: 61
T62	GSM1524042	patient: 62
T63	GSM1524043	patient: 63
T64	GSM1524044	patient: 64
T68	GSM1524045	patient: 68
T75	GSM1524046	patient: 75
T77	GSM1524047	patient: 77
T78	GSM1524048	patient: 78
T79	GSM1524049	patient: 79
T80	GSM1524050	patient: 80
T81	GSM1524051	patient: 81
T83	GSM1524052	patient: 83
T84	GSM1524053	patient: 84
T85	GSM1524054	patient: 85
T86	GSM1524055	patient: 86
T88	GSM1524056	patient: 88
T90	GSM1524057	patient: 90
T91	GSM1524058	patient: 91
T93	GSM1524059	patient: 93
T96	GSM1524060	patient: 96
T97	GSM1524061	patient: 97
T9	GSM1524062	patient: 9
N82	GSM1524063	patient: 82
N87	GSM1524064	patient: 87
N89	GSM1524065	patient: 89
N94	GSM1524066	patient: 94
N95	GSM1524067	patient: 95
T82	GSM1524068	patient: 82
T87	GSM1524069	patient: 87
T89	GSM1524070	patient: 89
T94	GSM1524071	patient: 94
T95	GSM1524072	patient: 95
N101	GSM1524073	patient: 101
N105	GSM1524074	patient: 105
N106	GSM1524075	patient: 106
N112	GSM1524076	patient: 112
N113	GSM1524077	patient: 113
N114	GSM1524078	patient: 114
N115	GSM1524079	patient: 115
N116	GSM1524080	patient: 116
N117	GSM1524081	patient: 117
N118	GSM1524082	patient: 118
N11	GSM1524083	patient: 11
N129	GSM1524084	patient: 129
N12	GSM1524085	patient: 12
N15	GSM1524086	patient: 15
N17	GSM1524087	patient: 17
N18	GSM1524088	patient: 18
N19	GSM1524089	patient: 19
N1	GSM1524090	patient: 1
N20	GSM1524091	patient: 20
N22	GSM1524092	patient: 22
N24	GSM1524093	patient: 24
N25	GSM1524094	patient: 25
N26	GSM1524095	patient: 26
N27	GSM1524096	patient: 27
N28	GSM1524097	patient: 28
N29	GSM1524098	patient: 29
N30	GSM1524099	patient: 30
N31	GSM1524100	patient: 31
N32	GSM1524101	patient: 32
N33	GSM1524102	patient: 33
N34	GSM1524103	patient: 34
N35	GSM1524104	patient: 35
N36	GSM1524105	patient: 36
N38	GSM1524106	patient: 38
N39	GSM1524107	patient: 39
N3	GSM1524108	patient: 3
N41	GSM1524109	patient: 41
N42	GSM1524110	patient: 42
N45	GSM1524111	patient: 45
N47	GSM1524112	patient: 47
N49	GSM1524113	patient: 49
N4	GSM1524114	patient: 4
N55	GSM1524115	patient: 55
N80	GSM1524116	patient: 80
N81	GSM1524117	patient: 81
N84	GSM1524118	patient: 84
N85	GSM1524119	patient: 85
N86	GSM1524120	patient: 86
N88	GSM1524121	patient: 88
N90	GSM1524122	patient: 90
N91	GSM1524123	patient: 91
N93	GSM1524124	patient: 93
N96	GSM1524125	patient: 96
N97	GSM1524126	patient: 97
