drug	auc	p	s	group
leptomycin B	0.11916450248	0.00231643440689073	**	High PPS
leptomycin B	0.147908051948922	0.00231643440689073	**	High PPS
leptomycin B	0.0961378798287523	0.00231643440689073	**	High PPS
leptomycin B	0.153881380641316	0.00231643440689073	**	Low PPS
leptomycin B	0.144622765376793	0.00231643440689073	**	Low PPS
leptomycin B	0.160884875722411	0.00231643440689073	**	Low PPS
leptomycin B	0.152836727693168	0.00231643440689073	**	Low PPS
leptomycin B	0.152898710649552	0.00231643440689073	**	Low PPS
leptomycin B	0.180697739251548	0.00231643440689073	**	Low PPS
leptomycin B	0.214630761230746	0.00231643440689073	**	Low PPS
leptomycin B	0.139206536540007	0.00231643440689073	**	Low PPS
leptomycin B	0.159566001296198	0.00231643440689073	**	Low PPS
leptomycin B	0.133531402216887	0.00231643440689073	**	Low PPS
leptomycin B	0.110737757939449	0.00231643440689073	**	Low PPS
leptomycin B	0.139494996436193	0.00231643440689073	**	Low PPS
SB-743921	0.15542535119748	0.000144222448704882	***	High PPS
SB-743921	0.171440020017892	0.000144222448704882	***	High PPS
SB-743921	0.125766476898207	0.000144222448704882	***	High PPS
SB-743921	0.123877036423262	0.000144222448704882	***	High PPS
SB-743921	0.138611299674644	0.000144222448704882	***	High PPS
SB-743921	0.199082945972205	0.000144222448704882	***	High PPS
SB-743921	0.202590631170787	0.000144222448704882	***	High PPS
SB-743921	0.195894454580267	0.000144222448704882	***	High PPS
SB-743921	0.23708926638416	0.000144222448704882	***	High PPS
SB-743921	0.18393002540565	0.000144222448704882	***	High PPS
SB-743921	0.208185490175964	0.000144222448704882	***	High PPS
SB-743921	0.155513435650892	0.000144222448704882	***	High PPS
SB-743921	0.233206169012454	0.000144222448704882	***	Low PPS
SB-743921	0.255606971228797	0.000144222448704882	***	Low PPS
SB-743921	0.245816978972126	0.000144222448704882	***	Low PPS
SB-743921	0.256958093665704	0.000144222448704882	***	Low PPS
SB-743921	0.271889451696784	0.000144222448704882	***	Low PPS
SB-743921	0.318755819375569	0.000144222448704882	***	Low PPS
SB-743921	0.310399406957644	0.000144222448704882	***	Low PPS
SB-743921	0.212433328545425	0.000144222448704882	***	Low PPS
SB-743921	0.209299923905045	0.000144222448704882	***	Low PPS
SB-743921	0.183511543293458	0.000144222448704882	***	Low PPS
SB-743921	0.212638904349868	0.000144222448704882	***	Low PPS
SB-743921	0.226591438081645	0.000144222448704882	***	Low PPS
clofarabine	0.340146995885846	0.000274392453689802	***	High PPS
clofarabine	0.258485055867925	0.000274392453689802	***	High PPS
clofarabine	0.313231376053887	0.000274392453689802	***	High PPS
clofarabine	0.307043330143611	0.000274392453689802	***	High PPS
clofarabine	0.325046999906154	0.000274392453689802	***	High PPS
clofarabine	0.343419660826594	0.000274392453689802	***	High PPS
clofarabine	0.324414791530638	0.000274392453689802	***	High PPS
clofarabine	0.314200606866704	0.000274392453689802	***	High PPS
clofarabine	0.363273350177699	0.000274392453689802	***	High PPS
clofarabine	0.370534069098	0.000274392453689802	***	High PPS
clofarabine	0.443195695259574	0.000274392453689802	***	High PPS
clofarabine	0.301967679359028	0.000274392453689802	***	High PPS
clofarabine	0.398387603369917	0.000274392453689802	***	Low PPS
clofarabine	0.36510689681369	0.000274392453689802	***	Low PPS
clofarabine	0.373139469515058	0.000274392453689802	***	Low PPS
clofarabine	0.402489995796382	0.000274392453689802	***	Low PPS
clofarabine	0.392849879653635	0.000274392453689802	***	Low PPS
clofarabine	0.422596297358281	0.000274392453689802	***	Low PPS
clofarabine	0.458929929881859	0.000274392453689802	***	Low PPS
clofarabine	0.36000575019756	0.000274392453689802	***	Low PPS
clofarabine	0.44339720784487	0.000274392453689802	***	Low PPS
clofarabine	0.378558705845211	0.000274392453689802	***	Low PPS
clofarabine	0.374428848566109	0.000274392453689802	***	Low PPS
clofarabine	0.395445164867359	0.000274392453689802	***	Low PPS
